               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12088,            0.031529,            0.044366,           0.0011074,              0.2088,           0.0021778,          0.00049419,             0.10164,            0.023148,            0.039455,              0.0883,              0.0013,              0.0013
                   1,              0.1017,            0.031799,            0.038564,           0.0023762,             0.47275,           0.0095687,           0.0022142,            0.077905,            0.024051,            0.036484,            0.075667,           0.0026666,           0.0026666
                   2,            0.086959,            0.036522,            0.033564,           0.0033871,             0.61164,             0.01848,           0.0064163,            0.067319,             0.02309,            0.035641,            0.062999,           0.0039985,           0.0039985
                   3,            0.077962,            0.034414,            0.031967,            0.024391,             0.10526,            0.041444,            0.010853,            0.071784,            0.020816,             0.03398,            0.050296,           0.0052958,           0.0052958
                   4,            0.076092,            0.031168,             0.03049,             0.13279,            0.095694,            0.074004,            0.024945,            0.074718,            0.018954,            0.030677,            0.037558,           0.0065584,           0.0065584
                   5,            0.075658,            0.028932,            0.029053,              0.1807,             0.27924,             0.12725,            0.041298,            0.069393,            0.017453,            0.028578,            0.024786,           0.0077864,           0.0077864
                   6,            0.072608,            0.028218,            0.028204,             0.21511,              0.3324,             0.18732,            0.050886,            0.062521,            0.017112,            0.027017,             0.01198,           0.0089798,           0.0089798
                   7,            0.069975,             0.02553,            0.026904,             0.39023,             0.39009,             0.35333,            0.087377,            0.059888,            0.016431,            0.022305,           0.0091337,           0.0091337,           0.0091337
                   8,            0.064538,            0.025121,            0.024655,             0.30142,             0.41281,             0.32173,             0.10568,            0.069655,            0.014463,            0.019514,           0.0091337,           0.0091337,           0.0091337
                   9,            0.066029,            0.022873,            0.022691,             0.49911,             0.41002,             0.46876,             0.15677,            0.055689,            0.013861,            0.017181,             0.00901,             0.00901,             0.00901
                  10,            0.063117,            0.021836,            0.020517,             0.33181,             0.50811,             0.40458,             0.14098,            0.059779,            0.014054,            0.013738,           0.0088863,           0.0088863,           0.0088863
                  11,            0.058804,            0.019528,            0.018745,             0.24424,             0.60128,             0.38413,             0.17425,            0.057572,            0.015392,            0.011647,           0.0087625,           0.0087625,           0.0087625
                  12,            0.058431,            0.019885,            0.017588,             0.45825,             0.76571,             0.60442,             0.19961,            0.054113,             0.01269,            0.010731,           0.0086388,           0.0086388,           0.0086388
                  13,            0.057212,            0.019341,            0.016442,             0.51908,              0.6369,             0.57845,             0.20331,            0.051316,            0.012352,           0.0091948,            0.008515,            0.008515,            0.008515
                  14,            0.054732,            0.019594,            0.015463,             0.66992,             0.48538,             0.62537,             0.30885,            0.050664,            0.011683,           0.0081968,           0.0083913,           0.0083913,           0.0083913
                  15,            0.052702,            0.018011,            0.013842,             0.52525,             0.73246,             0.68154,             0.30823,            0.048704,            0.011508,           0.0076621,           0.0082675,           0.0082675,           0.0082675
                  16,            0.050338,            0.017399,            0.013507,             0.70785,             0.79306,             0.81549,             0.32342,            0.044295,            0.011215,           0.0074215,           0.0081437,           0.0081437,           0.0081437
                  17,             0.04826,            0.018118,            0.012365,             0.42467,             0.70801,             0.57728,             0.29073,            0.047873,            0.011371,           0.0080933,             0.00802,             0.00802,             0.00802
                  18,            0.047388,            0.017114,            0.011153,             0.54831,             0.82598,             0.72097,             0.40359,            0.043752,            0.010878,            0.007893,           0.0078963,           0.0078963,           0.0078963
                  19,             0.04701,            0.016217,           0.0099278,             0.56239,             0.81326,             0.69348,             0.32133,            0.049084,            0.010829,           0.0071463,           0.0077725,           0.0077725,           0.0077725
                  20,            0.046634,            0.016135,            0.010011,             0.69147,             0.72003,             0.72784,             0.31869,            0.041711,            0.010891,           0.0075857,           0.0076488,           0.0076488,           0.0076488
                  21,            0.044902,            0.015854,            0.010409,             0.78196,             0.75341,              0.8214,              0.3878,            0.039611,            0.010593,           0.0071108,            0.007525,            0.007525,            0.007525
                  22,            0.044428,            0.015394,           0.0090508,             0.63945,             0.72488,             0.77391,             0.40191,            0.044824,             0.01054,           0.0074189,           0.0074013,           0.0074013,           0.0074013
                  23,            0.043419,            0.015267,           0.0093277,             0.78886,             0.75497,              0.8201,             0.47888,            0.037612,            0.010112,           0.0064273,           0.0072775,           0.0072775,           0.0072775
                  24,            0.041425,              0.0153,           0.0087471,             0.80981,             0.78877,             0.85848,             0.39076,            0.040447,            0.010197,           0.0062282,           0.0071538,           0.0071538,           0.0071538
                  25,            0.040176,            0.015502,           0.0078772,             0.77124,             0.82316,             0.85372,             0.45318,            0.037559,           0.0097255,            0.006191,             0.00703,             0.00703,             0.00703
                  26,            0.040187,            0.016021,           0.0076233,             0.75404,              0.8227,             0.83468,             0.46379,            0.038348,           0.0097064,            0.007703,           0.0069063,           0.0069063,           0.0069063
                  27,            0.038656,            0.013843,           0.0067123,             0.74853,             0.75999,             0.78458,             0.41274,            0.041053,            0.010126,            0.006249,           0.0067825,           0.0067825,           0.0067825
                  28,            0.038611,            0.014896,           0.0067448,             0.84078,             0.82571,             0.86115,             0.48312,            0.035125,            0.010628,           0.0055836,           0.0066587,           0.0066587,           0.0066587
                  29,            0.040565,            0.016278,           0.0068072,             0.91443,             0.85181,             0.90056,             0.52715,            0.032842,           0.0098287,           0.0045834,            0.006535,            0.006535,            0.006535
                  30,            0.038013,            0.016315,           0.0061099,             0.88011,             0.84862,             0.87074,              0.4728,            0.040778,            0.009456,            0.004836,           0.0064112,           0.0064112,           0.0064112
                  31,            0.039555,            0.014107,           0.0066357,             0.86201,             0.81946,              0.8789,             0.48482,            0.036513,            0.010069,           0.0055593,           0.0062875,           0.0062875,           0.0062875
                  32,            0.036501,            0.013377,           0.0060111,             0.84509,             0.78296,             0.87933,             0.48091,            0.036907,            0.010676,           0.0058949,           0.0061637,           0.0061637,           0.0061637
                  33,            0.037095,            0.014521,           0.0057701,             0.92924,             0.73622,             0.85347,             0.52151,            0.034075,            0.011246,           0.0057701,             0.00604,             0.00604,             0.00604
                  34,            0.035157,            0.014343,           0.0062509,             0.87277,             0.78934,             0.86173,             0.51657,            0.036927,            0.010876,           0.0052099,           0.0059163,           0.0059163,           0.0059163
                  35,            0.035012,             0.01354,           0.0054071,             0.86889,             0.81163,             0.88472,             0.52183,            0.036373,           0.0094558,           0.0047193,           0.0057925,           0.0057925,           0.0057925
                  36,            0.035198,             0.01402,           0.0058627,              0.9361,             0.84666,             0.91713,             0.55601,            0.031402,           0.0095547,           0.0048194,           0.0056688,           0.0056688,           0.0056688
                  37,            0.033785,            0.014038,           0.0048407,             0.88864,             0.83333,             0.90784,             0.53241,            0.032598,           0.0095909,           0.0047919,            0.005545,            0.005545,            0.005545
                  38,            0.034153,            0.013778,           0.0051197,             0.91803,             0.79559,             0.87916,             0.54222,            0.034244,           0.0094397,           0.0044692,           0.0054212,           0.0054212,           0.0054212
                  39,            0.033278,             0.01319,             0.00452,             0.92127,             0.85608,             0.91244,              0.5843,            0.031781,           0.0096133,           0.0039614,           0.0052975,           0.0052975,           0.0052975
                  40,            0.032652,            0.013287,           0.0046036,             0.89388,             0.82842,             0.88921,             0.55237,            0.030468,           0.0099984,           0.0054214,           0.0051737,           0.0051737,           0.0051737
                  41,            0.032291,            0.012835,           0.0062551,             0.91272,             0.81911,              0.9163,               0.537,            0.030724,           0.0096195,           0.0054766,             0.00505,             0.00505,             0.00505
                  42,            0.031873,            0.012533,           0.0047006,             0.93252,             0.84654,             0.93541,             0.57754,            0.030777,           0.0091736,           0.0042589,           0.0049263,           0.0049263,           0.0049263
                  43,            0.030782,            0.012982,           0.0052433,             0.91181,             0.85967,             0.90685,             0.57187,            0.030593,           0.0091914,           0.0038166,           0.0048025,           0.0048025,           0.0048025
                  44,            0.030842,            0.013217,           0.0045443,             0.89494,             0.86377,             0.90659,              0.5737,            0.029238,           0.0093023,           0.0040747,           0.0046788,           0.0046788,           0.0046788
                  45,            0.030427,            0.013111,           0.0039876,             0.90995,             0.87689,             0.91892,              0.5752,             0.03013,           0.0094632,           0.0038724,            0.004555,            0.004555,            0.004555
                  46,            0.030869,            0.013111,            0.004461,             0.91978,             0.84609,             0.89493,             0.52953,             0.03322,           0.0095408,           0.0038684,           0.0044313,           0.0044313,           0.0044313
                  47,            0.029995,            0.013542,           0.0043135,             0.87478,             0.89751,             0.90816,             0.59061,            0.028508,           0.0090326,           0.0046165,           0.0043075,           0.0043075,           0.0043075
                  48,             0.02811,            0.012623,           0.0046238,             0.95245,             0.87375,             0.92878,             0.58536,            0.028924,           0.0088149,           0.0045705,           0.0041837,           0.0041837,           0.0041837
                  49,            0.028093,            0.012147,            0.004726,             0.90974,             0.88464,             0.91396,             0.56859,            0.030159,           0.0089334,           0.0042841,             0.00406,             0.00406,             0.00406
                  50,             0.02832,            0.013268,           0.0047006,             0.93608,             0.85946,             0.93011,             0.60759,            0.027632,           0.0093663,           0.0040169,           0.0039362,           0.0039362,           0.0039362
                  51,            0.027015,            0.012882,           0.0036553,             0.90394,             0.87387,             0.91666,             0.60201,            0.029478,            0.009249,           0.0044686,           0.0038125,           0.0038125,           0.0038125
