               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020262,            0.010806,           0.0016789,             0.90345,             0.82717,             0.88884,             0.58306,            0.029041,           0.0087491,           0.0049603,              0.0883,              0.0013,              0.0013
                   1,             0.02236,            0.010804,           0.0028177,             0.90314,             0.87739,             0.92038,             0.56892,            0.029355,           0.0088576,           0.0040408,            0.075667,           0.0026666,           0.0026666
                   2,            0.026169,            0.012048,           0.0019461,             0.93928,             0.86816,             0.91873,             0.52053,            0.032192,           0.0093931,           0.0047605,            0.062999,           0.0039985,           0.0039985
                   3,            0.030382,            0.012081,           0.0023985,             0.86657,              0.8294,             0.87107,             0.48521,            0.034657,           0.0092142,           0.0052299,            0.050296,           0.0052958,           0.0052958
                   4,             0.03238,            0.012023,            0.003012,             0.76011,             0.84324,             0.83426,             0.44009,            0.038535,           0.0092496,           0.0057899,            0.037558,           0.0065584,           0.0065584
                   5,            0.036103,            0.012732,           0.0031353,             0.80154,             0.80766,             0.86005,             0.47835,            0.033841,           0.0094554,           0.0060267,            0.024786,           0.0077864,           0.0077864
                   6,            0.036143,            0.012443,           0.0032728,             0.72931,             0.68599,             0.74035,             0.39452,            0.044409,           0.0093594,           0.0062642,             0.01198,           0.0089798,           0.0089798
                   7,            0.038869,            0.012203,           0.0038763,              0.6681,             0.86629,             0.83893,             0.45978,             0.03858,           0.0087732,           0.0055698,           0.0091337,           0.0091337,           0.0091337
                   8,            0.038277,            0.012412,           0.0035078,             0.87492,             0.88569,             0.93098,             0.54364,            0.034326,           0.0090111,           0.0058165,           0.0091337,           0.0091337,           0.0091337
                   9,            0.036531,            0.012945,           0.0042055,             0.83257,              0.8307,             0.88999,             0.50524,            0.038131,            0.009166,           0.0055009,             0.00901,             0.00901,             0.00901
                  10,             0.03605,             0.01271,           0.0039881,             0.83435,             0.79699,             0.84665,             0.47594,            0.035841,           0.0092149,           0.0060117,           0.0088863,           0.0088863,           0.0088863
                  11,            0.035701,            0.011402,           0.0039072,             0.88259,              0.8289,             0.85329,             0.48597,            0.039694,           0.0093077,           0.0053098,           0.0087625,           0.0087625,           0.0087625
                  12,            0.035957,            0.012239,           0.0034927,             0.90078,             0.84811,             0.90865,             0.52893,            0.033844,           0.0097622,           0.0049727,           0.0086388,           0.0086388,           0.0086388
                  13,            0.034683,            0.012437,            0.004097,             0.90593,             0.84741,             0.89965,             0.50174,            0.035139,           0.0094082,           0.0049155,            0.008515,            0.008515,            0.008515
                  14,             0.03372,            0.012712,           0.0041432,             0.78502,             0.81802,             0.82397,             0.50871,            0.038282,           0.0092304,           0.0054474,           0.0083913,           0.0083913,           0.0083913
                  15,            0.032674,            0.012238,           0.0037044,              0.8393,             0.81896,             0.87523,             0.48444,            0.038612,           0.0093361,           0.0054737,           0.0082675,           0.0082675,           0.0082675
                  16,            0.032297,            0.012103,           0.0035125,             0.81296,             0.80743,             0.85679,             0.49654,            0.033797,            0.009593,           0.0055438,           0.0081437,           0.0081437,           0.0081437
                  17,            0.033205,            0.012329,            0.003392,             0.71294,             0.81579,             0.82114,             0.50576,            0.034735,           0.0099009,           0.0058977,             0.00802,             0.00802,             0.00802
                  18,            0.031912,            0.012098,           0.0028029,             0.83245,             0.77742,             0.85891,             0.52352,            0.035069,           0.0092909,           0.0056402,           0.0078963,           0.0078963,           0.0078963
                  19,            0.030438,             0.01145,           0.0031106,             0.79013,             0.89001,             0.90798,             0.52321,            0.034802,           0.0091619,           0.0054225,           0.0077725,           0.0077725,           0.0077725
                  20,             0.03086,            0.011859,            0.002543,             0.90851,             0.85998,             0.91685,             0.56837,            0.032633,           0.0089022,            0.005492,           0.0076488,           0.0076488,           0.0076488
                  21,            0.031261,            0.011654,           0.0023627,             0.81882,             0.87826,             0.88789,             0.55523,             0.03035,           0.0088338,           0.0059475,            0.007525,            0.007525,            0.007525
                  22,            0.030133,            0.011557,           0.0030882,             0.85528,             0.89155,             0.91804,             0.55431,            0.031749,           0.0089011,           0.0061455,           0.0074013,           0.0074013,           0.0074013
                  23,            0.030282,            0.011365,           0.0030577,             0.90638,             0.88939,             0.91643,               0.568,             0.03126,           0.0091467,            0.006514,           0.0072775,           0.0072775,           0.0072775
                  24,            0.029994,            0.011499,           0.0025721,             0.92133,             0.89158,             0.92894,             0.56358,            0.031712,           0.0089309,           0.0058279,           0.0071538,           0.0071538,           0.0071538
                  25,            0.030488,            0.011791,           0.0026446,             0.90249,             0.85619,             0.90841,             0.58185,             0.03184,            0.009051,           0.0053813,             0.00703,             0.00703,             0.00703
                  26,            0.030348,            0.012149,           0.0027391,             0.88818,             0.87387,             0.91414,             0.54618,            0.031924,           0.0092686,           0.0057172,           0.0069063,           0.0069063,           0.0069063
                  27,            0.029492,            0.010548,           0.0021776,             0.87539,             0.83269,             0.88285,             0.54813,            0.031037,           0.0094204,            0.005794,           0.0067825,           0.0067825,           0.0067825
                  28,            0.029213,            0.011551,           0.0023787,             0.91341,             0.85114,             0.89808,             0.51978,            0.033306,           0.0093397,            0.005486,           0.0066587,           0.0066587,           0.0066587
                  29,            0.029291,            0.012722,            0.002171,             0.93469,             0.80527,             0.89157,              0.5825,            0.031648,           0.0091351,           0.0053897,            0.006535,            0.006535,            0.006535
                  30,             0.02945,            0.012821,           0.0023139,             0.91984,             0.84664,             0.91148,             0.59708,            0.030052,           0.0094796,           0.0053098,           0.0064112,           0.0064112,           0.0064112
                  31,            0.028181,            0.010856,            0.002234,              0.9721,             0.85333,             0.91884,             0.55951,            0.030802,           0.0096679,           0.0043684,           0.0062875,           0.0062875,           0.0062875
                  32,            0.028251,            0.010515,           0.0021529,              0.9469,             0.84457,             0.91092,              0.5832,            0.032963,           0.0098053,           0.0040556,           0.0061637,           0.0061637,           0.0061637
                  33,             0.02588,            0.011361,           0.0018217,             0.91548,             0.82525,             0.89314,             0.57848,            0.030249,           0.0098654,           0.0044236,             0.00604,             0.00604,             0.00604
                  34,            0.025638,            0.011148,           0.0032399,             0.94409,             0.86882,             0.92428,             0.61387,            0.028197,           0.0096027,           0.0038891,           0.0059163,           0.0059163,           0.0059163
                  35,             0.02544,            0.010452,           0.0023118,             0.94886,             0.85696,             0.92054,             0.62985,            0.028508,           0.0095862,           0.0037642,           0.0057925,           0.0057925,           0.0057925
                  36,            0.025149,            0.011105,           0.0022578,             0.93126,             0.84146,             0.90635,             0.58927,            0.029975,           0.0094894,           0.0041608,           0.0056688,           0.0056688,           0.0056688
                  37,             0.02485,            0.011081,           0.0018527,             0.90875,             0.83331,             0.89344,               0.557,            0.030809,            0.009482,           0.0051424,            0.005545,            0.005545,            0.005545
                  38,            0.025626,            0.011194,           0.0024963,             0.89131,             0.85367,             0.90181,             0.57971,             0.02878,            0.010023,           0.0052028,           0.0054212,           0.0054212,           0.0054212
                  39,            0.024797,            0.010484,           0.0018787,             0.92591,             0.87236,             0.91287,             0.58237,            0.028223,           0.0097922,           0.0047154,           0.0052975,           0.0052975,           0.0052975
                  40,            0.025678,             0.01056,           0.0017576,             0.92281,             0.86882,             0.90624,             0.55471,            0.032382,           0.0096927,           0.0050717,           0.0051737,           0.0051737,           0.0051737
                  41,            0.025623,            0.010275,           0.0025248,             0.94109,             0.84644,             0.90183,              0.5834,            0.030343,           0.0095948,           0.0042293,             0.00505,             0.00505,             0.00505
                  42,            0.025184,           0.0098993,           0.0018539,             0.91689,             0.87513,             0.91892,             0.61258,            0.028096,           0.0095916,           0.0037415,           0.0049263,           0.0049263,           0.0049263
                  43,             0.02516,            0.010647,           0.0022618,             0.89726,             0.84862,             0.90815,             0.61285,            0.028203,           0.0096874,           0.0035837,           0.0048025,           0.0048025,           0.0048025
                  44,            0.024549,            0.010353,           0.0018018,             0.89817,             0.84862,             0.91138,             0.59023,            0.030168,           0.0095334,           0.0034173,           0.0046788,           0.0046788,           0.0046788
                  45,              0.0234,            0.010551,           0.0015936,             0.92042,             0.84568,             0.90928,             0.59534,            0.028689,           0.0095674,           0.0040342,            0.004555,            0.004555,            0.004555
                  46,            0.024573,            0.010696,           0.0017913,             0.91008,             0.84357,             0.91456,             0.61636,            0.027789,           0.0096077,           0.0041904,           0.0044313,           0.0044313,           0.0044313
                  47,            0.023446,            0.010741,           0.0017222,             0.91965,             0.86629,             0.93475,             0.63329,            0.025918,           0.0092474,           0.0043661,           0.0043075,           0.0043075,           0.0043075
                  48,            0.023179,            0.010411,           0.0023343,             0.91195,             0.87751,             0.92254,             0.62917,            0.026383,           0.0090141,           0.0047223,           0.0041837,           0.0041837,           0.0041837
                  49,            0.021417,           0.0098023,           0.0016655,             0.92919,             0.85909,             0.90163,              0.6238,            0.026662,           0.0088637,           0.0053071,             0.00406,             0.00406,             0.00406
                  50,            0.022144,            0.010579,           0.0026305,              0.9076,             0.88113,             0.92165,             0.60989,            0.025381,           0.0089401,           0.0044585,           0.0039362,           0.0039362,           0.0039362
                  51,            0.021335,            0.010354,           0.0018984,             0.88671,             0.90392,             0.91968,             0.59965,            0.026811,            0.008823,           0.0045362,           0.0038125,           0.0038125,           0.0038125
                  52,            0.021892,           0.0099982,           0.0018993,             0.93658,             0.87341,             0.92159,             0.60928,            0.026892,           0.0090301,           0.0043881,           0.0036888,           0.0036888,           0.0036888
                  53,            0.021488,            0.010415,           0.0016358,             0.93224,             0.83852,             0.90377,             0.61861,            0.026723,           0.0089391,           0.0049168,            0.003565,            0.003565,            0.003565
                  54,            0.021054,            0.010009,           0.0015798,             0.91977,             0.82261,             0.88431,             0.60286,            0.026752,           0.0088508,           0.0050949,           0.0034413,           0.0034413,           0.0034413
                  55,            0.020781,           0.0097263,           0.0015466,             0.93038,             0.86147,             0.91167,             0.61689,            0.026175,           0.0087221,           0.0050765,           0.0033175,           0.0033175,           0.0033175
                  56,            0.021115,           0.0093248,           0.0017469,             0.91034,              0.8511,             0.90262,             0.63419,            0.026216,           0.0086564,           0.0052014,           0.0031938,           0.0031938,           0.0031938
                  57,            0.020812,           0.0093778,           0.0012906,             0.90869,             0.88088,              0.9029,             0.62427,            0.026896,           0.0088903,           0.0048989,             0.00307,             0.00307,             0.00307
                  58,             0.02178,            0.010385,           0.0013221,             0.93733,             0.86705,             0.90591,             0.63169,            0.025734,           0.0085371,           0.0049868,           0.0029462,           0.0029462,           0.0029462
                  59,            0.020427,           0.0090206,           0.0013339,             0.93428,             0.86882,              0.9081,             0.66206,            0.024551,            0.008582,           0.0049826,           0.0028225,           0.0028225,           0.0028225
                  60,            0.020143,           0.0095072,           0.0015795,             0.89154,             0.85619,             0.89548,             0.63969,            0.025584,           0.0087465,           0.0051788,           0.0026987,           0.0026987,           0.0026987
                  61,            0.019626,            0.010091,           0.0013986,             0.87881,             0.85619,              0.8931,             0.65173,            0.024689,            0.009009,           0.0050542,            0.002575,            0.002575,            0.002575
                  62,            0.018966,            0.009501,           0.0016193,             0.88038,             0.85485,             0.88902,             0.60875,            0.026495,           0.0091703,           0.0050078,           0.0024513,           0.0024513,           0.0024513
                  63,            0.019113,           0.0099316,           0.0014025,             0.91193,             0.85229,             0.90067,             0.65221,            0.025073,           0.0092176,           0.0045591,           0.0023275,           0.0023275,           0.0023275
                  64,            0.018931,           0.0095878,           0.0013146,             0.91151,             0.89301,             0.91724,             0.64092,            0.025773,           0.0090677,           0.0045243,           0.0022038,           0.0022038,           0.0022038
                  65,            0.017395,           0.0090807,          0.00099167,             0.91981,             0.89296,             0.91542,             0.64118,            0.025081,           0.0090557,           0.0043792,             0.00208,             0.00208,             0.00208
                  66,            0.018425,            0.009531,           0.0012572,             0.91516,             0.89352,             0.91912,             0.65079,            0.025231,            0.008942,           0.0041729,           0.0019563,           0.0019563,           0.0019563
                  67,            0.017742,            0.009542,          0.00094479,             0.91044,             0.89015,             0.92773,             0.66623,            0.024598,           0.0087789,           0.0040655,           0.0018325,           0.0018325,           0.0018325
                  68,            0.018132,           0.0095464,           0.0013385,             0.91646,             0.88511,             0.92404,             0.65638,            0.025033,           0.0087698,            0.003983,           0.0017087,           0.0017087,           0.0017087
                  69,            0.017507,           0.0090222,           0.0010208,              0.9435,             0.86882,             0.92274,             0.65745,            0.024622,           0.0087928,           0.0037529,            0.001585,            0.001585,            0.001585
                  70,            0.017584,           0.0097186,           0.0011009,             0.95272,             0.87401,             0.92151,             0.65777,            0.024937,           0.0088595,           0.0036284,           0.0014612,           0.0014612,           0.0014612
                  71,            0.016731,           0.0092092,          0.00090767,             0.95184,             0.87433,              0.9252,             0.65533,            0.025455,            0.008972,           0.0034667,           0.0013375,           0.0013375,           0.0013375
                  72,            0.017649,           0.0091967,           0.0017414,             0.95048,             0.87078,             0.92488,             0.65777,            0.025214,           0.0089047,            0.003675,           0.0012138,           0.0012138,           0.0012138
                  73,            0.017648,           0.0088169,           0.0012426,             0.94282,             0.87295,             0.92363,              0.6681,            0.024566,           0.0088596,           0.0039127,             0.00109,             0.00109,             0.00109
                  74,            0.017591,           0.0097977,           0.0017824,             0.87769,             0.91325,             0.92689,             0.66879,            0.024438,           0.0087262,           0.0038755,          0.00096625,          0.00096625,          0.00096625
                  75,            0.017703,           0.0095972,           0.0017067,             0.88023,             0.91477,             0.92599,             0.66873,            0.024173,           0.0086172,            0.003953,           0.0008425,           0.0008425,           0.0008425
                  76,            0.016899,           0.0091737,          0.00096999,             0.88063,              0.9142,             0.92751,             0.65433,            0.024559,           0.0086718,           0.0038325,          0.00071875,          0.00071875,          0.00071875
                  77,            0.017598,           0.0099898,           0.0017725,             0.92982,             0.86993,             0.92432,             0.66383,            0.024273,           0.0087278,           0.0037872,            0.000595,            0.000595,            0.000595
                  78,             0.01707,           0.0090377,           0.0012916,             0.87794,             0.90922,             0.92082,             0.66091,            0.024341,           0.0087856,           0.0038699,          0.00047125,          0.00047125,          0.00047125
                  79,            0.016602,           0.0093738,           0.0019862,             0.87707,             0.90606,             0.91786,             0.65534,            0.024489,           0.0088059,            0.003825,           0.0003475,           0.0003475,           0.0003475
