                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12376,                0.19051,               0.045886,               0.045729,             0.00083187,               0.057937,              0.0005325,             0.00012823,             0.00027663,               0.022222,             0.00015287,             1.5287e-05,                0.11369,               0.093252,                0.02993,               0.042133,                 0.0883,                 0.0013,                 0.0013
                      1,                0.10977,               0.090236,               0.037024,               0.040044,              0.0027073,                0.49683,               0.002962,             0.00070178,              0.0018302,                0.24206,              0.0020609,             0.00035651,               0.096383,                0.06649,                0.02566,               0.036887,               0.075667,              0.0026666,              0.0026666
                      2,               0.092741,               0.063079,               0.034039,               0.035654,                0.10626,               0.081746,                0.02866,               0.010046,               0.010319,               0.059524,               0.013637,              0.0051389,               0.093469,               0.044731,               0.021334,                0.03457,               0.062999,              0.0039985,              0.0039985
                      3,                0.07943,               0.041164,               0.031852,               0.032199,                0.13344,                0.14365,               0.069848,               0.015491,               0.026845,                0.13095,               0.071517,                0.02576,               0.078438,               0.035628,               0.020658,               0.031178,               0.050296,              0.0052958,              0.0052958
                      4,               0.079064,               0.034686,               0.028082,               0.030768,               0.016981,                0.31032,               0.012721,              0.0033661,               0.043076,                0.24048,               0.025345,              0.0078472,               0.089263,               0.036681,               0.017628,               0.028862,               0.037558,              0.0065584,              0.0065584
                      5,                0.07393,               0.032088,               0.030177,               0.029415,                0.21979,                0.36667,                0.14429,               0.038137,                 0.3562,                0.43333,                0.19677,                0.08942,               0.081028,               0.031701,               0.018591,                0.02645,               0.024786,              0.0077864,              0.0077864
                      6,               0.075635,               0.030233,               0.026594,               0.026791,                0.10325,                 0.3196,               0.098405,               0.026887,                0.50136,                0.35317,                0.33594,                0.16682,               0.077067,               0.026415,               0.015831,               0.023094,                0.01198,              0.0089798,              0.0089798
                      7,                0.07078,               0.025664,               0.025697,               0.025194,                0.44531,                0.33472,                0.21348,               0.083998,                0.51352,                 0.3873,                0.26176,                0.15035,               0.083375,               0.025644,               0.020975,               0.020036,              0.0091337,              0.0091337,              0.0091337
                      8,               0.074299,                0.02475,               0.024138,               0.023262,                0.27825,                0.36901,                0.28968,               0.062078,                0.54693,                0.30714,                0.39813,                0.24346,               0.070768,                0.02653,               0.021322,               0.017482,              0.0091337,              0.0091337,              0.0091337
                      9,               0.065951,               0.024053,               0.022922,               0.021759,                0.34117,                0.47605,                 0.3176,                 0.0928,                0.55403,                0.58696,                0.56024,                0.31015,               0.069857,               0.027759,               0.014395,                0.01783,                0.00901,                0.00901,                0.00901
                     10,                0.06512,               0.024612,               0.023515,                0.02042,                0.56613,                0.39018,                0.28973,                0.10003,                0.58928,                0.42143,                0.38553,                0.17984,               0.066475,                0.02739,               0.016729,               0.017336,              0.0088863,              0.0088863,              0.0088863
                     11,               0.060757,               0.022497,               0.021151,               0.017947,                0.46162,                0.51999,                0.42466,                0.16277,                0.45827,                0.62061,                 0.4421,                0.26944,               0.069962,               0.029468,               0.016319,               0.017079,              0.0087625,              0.0087625,              0.0087625
                     12,               0.060808,                0.02471,               0.021609,               0.018165,                0.31694,                0.54921,                0.42385,                0.13863,                0.79531,                 0.5978,                0.68777,                0.41631,               0.060469,               0.020302,               0.014072,               0.013767,              0.0086388,              0.0086388,              0.0086388
                     13,                0.05888,               0.021221,               0.020022,               0.015767,                0.51007,                0.54444,                0.48159,                0.18987,                0.58615,                0.56508,                0.59794,                0.41007,               0.058255,               0.018222,               0.011957,               0.012895,               0.008515,               0.008515,               0.008515
                     14,               0.055539,               0.019673,               0.019686,               0.014608,                0.54363,                 0.7149,                0.66488,                0.29094,                0.55869,                0.73195,                0.67717,                0.44535,               0.054908,               0.018816,               0.011482,               0.012774,              0.0083913,              0.0083913,              0.0083913
                     15,               0.056076,               0.020303,               0.019518,               0.013087,                0.50828,                0.60259,                0.57298,                0.24726,                0.45261,                 0.7254,                0.61016,                0.40478,               0.051477,               0.019799,               0.011578,               0.015523,              0.0082675,              0.0082675,              0.0082675
                     16,               0.052216,               0.021061,               0.018824,               0.012684,                0.70742,                0.62459,                0.67624,                 0.3348,                0.72162,                0.62583,                0.66515,                0.47471,               0.049931,               0.020635,               0.011578,                 0.0103,              0.0081437,              0.0081437,              0.0081437
                     17,               0.049042,               0.019177,               0.017769,               0.011296,                0.70925,                0.71147,                0.73088,                0.31958,                0.74609,                0.72974,                0.73867,                0.49685,               0.049055,               0.020675,               0.010998,              0.0084755,                0.00802,                0.00802,                0.00802
                     18,               0.050171,               0.018821,               0.016922,               0.012388,                0.57886,                0.71408,                 0.6463,                0.27388,                0.57886,                0.71408,                0.62528,                 0.3937,               0.054606,               0.021487,               0.011801,              0.0085693,              0.0078963,              0.0078963,              0.0078963
                     19,               0.048747,               0.020093,               0.016459,               0.010935,                0.67763,                0.66853,                0.63773,                0.27118,                0.68645,                0.67689,                0.64062,                0.43167,               0.050897,                0.01867,               0.010939,               0.010979,              0.0077725,              0.0077725,              0.0077725
                     20,               0.049608,               0.018918,               0.016866,               0.011424,                0.60948,                0.68291,                0.58589,                0.18904,                0.76518,                0.67812,                0.69958,                0.47728,               0.055799,               0.019801,               0.011887,               0.011293,              0.0076488,              0.0076488,              0.0076488
                     21,               0.050284,               0.018735,               0.016792,                0.01021,                0.87779,                0.69286,                0.74513,                0.35586,                0.86957,                0.67433,                0.71832,                0.54161,               0.049057,               0.019037,               0.011398,               0.008551,               0.007525,               0.007525,               0.007525
                     22,               0.047027,               0.017467,               0.016014,              0.0091801,                0.62851,                0.74048,                0.70076,                0.36734,                0.61154,                0.71825,                0.67387,                0.45272,               0.045781,               0.018921,               0.011745,              0.0083359,              0.0074013,              0.0074013,              0.0074013
                     23,               0.044786,               0.017406,               0.017325,              0.0089375,                0.87475,                0.69429,                0.75004,                0.43567,                0.86151,                0.68266,                0.74454,                0.53588,               0.046499,               0.020397,               0.010969,              0.0084686,              0.0072775,              0.0072775,              0.0072775
                     24,               0.045819,               0.016382,               0.015918,              0.0083739,                0.84913,                 0.7249,                0.83142,                0.40508,                0.84868,                0.71342,                0.76851,                0.53085,               0.048421,               0.021741,                0.01148,              0.0077499,              0.0071538,              0.0071538,              0.0071538
                     25,               0.044571,               0.017894,               0.015354,              0.0073842,                0.80519,                0.68294,                0.76888,                0.37435,                0.87073,                0.71548,                0.79027,                0.56275,               0.045739,                0.01846,               0.011292,               0.009082,                0.00703,                0.00703,                0.00703
                     26,               0.042136,                0.01695,               0.015635,              0.0078546,                0.79205,                0.74921,                 0.7771,                0.44586,                0.76195,                0.72698,                0.76183,                0.54418,               0.043245,               0.016939,                0.01045,              0.0074364,              0.0069063,              0.0069063,              0.0069063
                     27,               0.043482,               0.016859,               0.014832,              0.0073787,                0.91881,                0.81775,                0.85639,                 0.4983,                0.91881,                0.81775,                0.85488,                0.60274,               0.039655,               0.016737,               0.009943,              0.0084595,              0.0067825,              0.0067825,              0.0067825
                     28,               0.039142,                0.01787,               0.016299,              0.0093951,                0.92676,                0.83846,                0.88064,                0.51111,                0.93981,                0.84845,                0.88801,                 0.6213,               0.038185,               0.015979,                0.01009,              0.0059669,              0.0066587,              0.0066587,              0.0066587
                     29,               0.039311,               0.017655,               0.016385,              0.0065541,                0.89232,                0.83607,                0.88697,                0.43754,                0.96752,                0.77864,                0.86995,                0.58753,               0.043406,               0.016558,               0.011196,              0.0058353,               0.006535,               0.006535,               0.006535
                     30,               0.039659,                0.01617,               0.016325,              0.0065085,                0.67334,                0.71233,                0.72986,                 0.3463,                0.73344,                0.69754,                0.71631,                0.46717,               0.047917,               0.016855,               0.010725,              0.0051716,              0.0064112,              0.0064112,              0.0064112
                     31,                 0.0405,               0.015818,               0.014559,              0.0056173,                0.81387,                0.78982,                  0.773,                0.38986,                0.81439,                0.78974,                0.78081,                0.53277,               0.045421,               0.018845,               0.010416,              0.0057392,              0.0062875,              0.0062875,              0.0062875
                     32,               0.039303,               0.016705,               0.014177,              0.0064389,                0.92462,                0.78492,                0.83793,                0.50979,                0.90997,                0.78492,                0.84157,                0.62505,               0.040215,               0.018082,              0.0099316,              0.0050594,              0.0061637,              0.0061637,              0.0061637
                     33,               0.039136,                0.01504,               0.014707,              0.0053661,                0.94547,                0.78412,                0.88762,                0.44792,                0.97351,                0.77302,                 0.8715,                0.63953,               0.042287,               0.016513,              0.0099258,              0.0051075,                0.00604,                0.00604,                0.00604
                     34,               0.037899,                0.01578,               0.014617,              0.0060985,                0.91685,                0.81734,                0.87723,                0.51626,                0.93268,                0.78681,                0.85067,                0.61193,               0.040534,               0.016101,               0.010227,              0.0069534,              0.0059163,              0.0059163,              0.0059163
                     35,               0.036976,               0.016315,                0.01463,              0.0060483,                0.94398,                0.80842,                0.86266,                0.53038,                0.93529,                0.81296,                0.86186,                0.62156,               0.040405,               0.014986,               0.010073,              0.0050491,              0.0057925,              0.0057925,              0.0057925
                     36,               0.038276,               0.016815,               0.014365,              0.0058849,                0.89811,                0.81196,                0.86509,                0.47715,                0.89811,                0.81196,                0.86057,                0.65018,               0.038925,               0.014808,               0.010376,                0.00441,              0.0056688,              0.0056688,              0.0056688
                     37,               0.034661,                0.01507,               0.014941,              0.0065646,                0.92586,                 0.8109,                0.86143,                0.51677,                0.92586,                 0.8109,                0.85793,                0.64366,               0.039629,               0.015123,               0.010477,              0.0047035,               0.005545,               0.005545,               0.005545
                     38,               0.035125,               0.014819,               0.014962,               0.005475,                 0.9171,                0.80412,                0.84339,                0.48647,                0.91754,                 0.8115,                0.85445,                0.60482,               0.039517,               0.014925,               0.010128,              0.0049805,              0.0054212,              0.0054212,              0.0054212
