                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.021169,               0.013638,               0.011382,                0.00222,                0.87787,                0.84462,                 0.8952,                0.65174,                0.87656,                0.84636,                0.88982,                0.67896,               0.028174,               0.013782,              0.0087633,              0.0063549,                 0.0883,                 0.0013,                 0.0013
                      1,               0.022661,               0.012429,               0.011041,              0.0018977,                0.88232,                0.83834,                0.89557,                0.58956,                0.88582,                0.85301,                0.88581,                 0.6553,                0.03188,               0.013352,              0.0090342,              0.0061878,               0.075667,              0.0026666,              0.0026666
                      2,               0.030471,               0.013141,               0.011999,              0.0018534,                0.91045,                0.82815,                0.89088,                   0.55,                0.87946,                0.83095,                0.88459,                0.66823,               0.031464,               0.013711,              0.0095615,               0.006324,               0.062999,              0.0039985,              0.0039985
                      3,               0.032302,               0.012414,               0.011853,              0.0024176,                0.96475,                0.77017,                 0.8743,                0.48857,                0.96475,                0.77017,                0.87067,                0.64884,               0.038546,               0.014096,              0.0099287,               0.007473,               0.050296,              0.0052958,              0.0052958
                      4,               0.033703,               0.011892,               0.011375,              0.0026617,                0.84061,                0.72337,                0.75004,                0.35855,                0.84061,                0.72337,                0.74796,                0.50706,                0.04303,               0.013503,               0.008997,              0.0063927,               0.037558,              0.0065584,              0.0065584
                      5,               0.037025,               0.012691,                0.01288,              0.0036051,                0.92797,                0.73019,                0.85257,                0.37883,                0.83303,                0.83145,                 0.8572,                0.63762,               0.040939,               0.013439,               0.010151,               0.007267,               0.024786,              0.0077864,              0.0077864
                      6,               0.041224,               0.013032,               0.013004,              0.0036008,                0.75172,                0.77149,                0.76692,                 0.3383,                0.74604,                0.86893,                0.85746,                0.50784,               0.050726,               0.013828,               0.009593,              0.0079262,                0.01198,              0.0089798,              0.0089798
                      7,               0.042506,                0.01305,               0.012843,              0.0042052,                 0.8612,                0.77538,                0.83713,                0.45853,                0.87561,                0.77102,                0.85902,                0.59909,               0.045906,               0.013756,              0.0093212,              0.0082443,              0.0091337,              0.0091337,              0.0091337
                      8,               0.042074,               0.013409,               0.013314,              0.0036646,                0.90206,                0.77181,                0.86626,                0.42042,                0.91527,                0.78343,                0.88483,                0.65996,               0.042239,               0.013549,              0.0094604,              0.0071251,              0.0091337,              0.0091337,              0.0091337
                      9,               0.036992,               0.012419,               0.012558,              0.0038541,                0.78486,                0.78651,                0.87084,                0.48356,                0.80809,                0.76429,                0.87156,                0.63372,               0.038704,               0.013709,              0.0098743,              0.0063091,                0.00901,                0.00901,                0.00901
                     10,               0.038219,               0.014159,               0.013404,              0.0038509,                0.82605,                 0.7627,                0.83085,                 0.3792,                0.78087,                0.81677,                0.83957,                0.56059,               0.041898,               0.014733,              0.0095415,              0.0060459,              0.0088863,              0.0088863,              0.0088863
                     11,               0.037466,               0.013028,               0.012523,              0.0035126,                0.75779,                0.79683,                0.80437,                0.39677,                0.71547,                0.86171,                 0.8338,                 0.5668,               0.043909,               0.016187,              0.0095663,              0.0055332,              0.0087625,              0.0087625,              0.0087625
                     12,               0.039107,               0.014161,               0.013291,              0.0042684,                0.91366,                0.80486,                0.88963,                0.50174,                0.91084,                 0.8067,                0.88852,                0.64207,               0.037153,               0.014849,              0.0097122,              0.0070164,              0.0086388,              0.0086388,              0.0086388
                     13,               0.037932,               0.013736,               0.012963,              0.0039384,                0.88004,                0.78492,                0.85248,                0.45716,                0.90186,                0.80527,                0.86685,                0.64312,               0.040043,               0.015786,              0.0098534,              0.0084068,               0.008515,               0.008515,               0.008515
                     14,               0.037481,               0.012633,               0.013078,              0.0044072,                0.84878,                0.86043,                0.88414,                0.51054,                0.84878,                0.86043,                0.87883,                0.62263,               0.037125,               0.015439,              0.0095749,              0.0076607,              0.0083913,              0.0083913,              0.0083913
                     15,               0.036703,               0.013245,               0.013517,              0.0041014,                0.91555,                0.79053,                0.84554,                0.49593,                0.92585,                0.80464,                0.84556,                0.61339,               0.041654,               0.015385,              0.0095129,              0.0074661,              0.0082675,              0.0082675,              0.0082675
                     16,               0.037774,                0.01425,               0.012923,              0.0035751,                0.87254,                0.82116,                0.86122,                0.42445,                0.87664,                0.84286,                0.86027,                0.65058,               0.041367,               0.016484,              0.0096073,              0.0063732,              0.0081437,              0.0081437,              0.0081437
                     17,               0.036056,               0.012639,               0.012545,              0.0033638,                0.97211,                  0.746,                0.83422,                0.50787,                 0.9574,                0.72889,                0.84198,                0.64707,               0.039285,                0.01501,              0.0096054,              0.0048901,                0.00802,                0.00802,                0.00802
                     18,                0.03442,               0.013461,               0.012414,              0.0035792,                0.84554,                0.79683,                0.83606,                0.50961,                0.85556,                 0.8141,                0.85491,                0.61405,               0.037844,               0.014896,              0.0097752,              0.0069363,              0.0078963,              0.0078963,              0.0078963
                     19,               0.033871,               0.013193,               0.011553,              0.0037926,                0.83152,                0.76388,                0.84961,                0.53981,                0.83152,                0.76388,                0.85281,                0.62381,               0.034875,               0.014182,              0.0094299,              0.0095581,              0.0077725,              0.0077725,              0.0077725
                     20,               0.034932,               0.013225,               0.012355,              0.0035446,                0.81253,                0.76687,                0.83996,                0.50168,                0.82514,                0.78162,                0.86069,                 0.6558,               0.037819,               0.013813,              0.0098953,               0.011373,              0.0076488,              0.0076488,              0.0076488
                     21,               0.034009,               0.013566,               0.012678,              0.0039722,                0.86363,                0.78333,                0.84599,                0.47338,                0.84162,                0.81746,                0.87066,                0.65106,               0.035948,               0.014403,               0.010006,               0.011861,               0.007525,               0.007525,               0.007525
                     22,               0.033763,               0.012882,               0.012025,              0.0034664,                0.87304,                0.81419,                0.88339,                 0.5286,                0.87304,                0.81419,                0.88218,                0.63331,               0.035785,               0.015115,              0.0094223,               0.012293,              0.0074013,              0.0074013,              0.0074013
                     23,               0.034015,               0.012942,               0.013164,              0.0032835,                0.96923,                0.78797,                0.89039,                0.55503,                0.96923,                0.78797,                0.89385,                0.65841,               0.037359,               0.014434,              0.0092125,              0.0065002,              0.0072775,              0.0072775,              0.0072775
                     24,               0.032873,               0.013215,               0.012428,              0.0036187,                0.96683,                0.77156,                0.86583,                0.53912,                 0.9219,                0.83419,                0.89904,                0.68034,               0.037164,                0.01408,               0.009697,              0.0075005,              0.0071538,              0.0071538,              0.0071538
                     25,               0.032844,                0.01281,               0.011759,              0.0039841,                0.92145,                0.87544,                0.90403,                 0.5455,                0.92145,                0.87544,                0.90403,                0.67174,               0.033909,               0.014037,              0.0091553,              0.0075623,                0.00703,                0.00703,                0.00703
                     26,               0.031727,               0.012963,               0.012341,              0.0035225,                0.95688,                0.81448,                0.88988,                0.51442,                0.94765,                0.80021,                0.88508,                0.61922,               0.039742,               0.014416,              0.0089846,              0.0064121,              0.0069063,              0.0069063,              0.0069063
                     27,                0.03114,               0.012692,               0.011616,              0.0029138,                 0.9277,                0.84198,                0.89978,                0.57788,                 0.8963,                0.82022,                0.87298,                0.63504,                 0.0329,               0.014613,              0.0094318,              0.0063984,              0.0067825,              0.0067825,              0.0067825
                     28,               0.029568,                0.01354,               0.012356,              0.0040081,                0.91994,                0.81707,                0.88076,                0.59159,                0.93251,                0.82773,                0.87628,                0.66743,                0.03189,                0.01456,               0.010021,              0.0050228,              0.0066587,              0.0066587,              0.0066587
                     29,               0.030106,               0.013026,               0.012858,              0.0030747,                0.96856,                0.80502,                0.87955,                0.55533,                0.96856,                0.80502,                0.86844,                 0.6402,               0.034479,               0.014453,               0.010031,              0.0048386,               0.006535,               0.006535,               0.006535
                     30,               0.031089,               0.012862,               0.012807,              0.0026763,                0.91828,                 0.8205,                0.88024,                0.49325,                0.90488,                0.84205,                0.89185,                0.64243,               0.037088,               0.014434,              0.0097618,              0.0051373,              0.0064112,              0.0064112,              0.0064112
                     31,               0.028999,               0.012258,                0.01165,              0.0027101,                0.90995,                0.83095,                0.88222,                0.57161,                0.88861,                0.80873,                 0.8508,                0.62113,                0.03635,               0.015296,               0.010271,              0.0049725,              0.0062875,              0.0062875,              0.0062875
                     32,               0.028556,               0.013117,                 0.0114,              0.0029653,                 0.9682,                  0.804,                0.85536,                 0.5672,                0.93929,                0.85317,                0.89955,                0.61629,               0.034628,                0.01548,              0.0094185,              0.0043659,              0.0061637,              0.0061637,              0.0061637
                     33,               0.029565,               0.011993,               0.011411,              0.0027336,                0.96879,                0.85317,                0.88905,                0.57357,                0.96879,                0.85317,                0.89005,                0.62557,               0.032914,               0.014651,              0.0096016,              0.0037382,                0.00604,                0.00604,                0.00604
                     34,               0.029685,                0.01179,               0.011819,              0.0033023,                0.93186,                0.77885,                0.84005,                0.52424,                0.96894,                0.80056,                0.88214,                0.63594,               0.037221,               0.015259,               0.010235,              0.0048409,              0.0059163,              0.0059163,              0.0059163
                     35,               0.028849,               0.012444,                0.01186,              0.0027509,                0.91787,                0.82063,                0.85821,                   0.54,                0.91787,                0.82063,                0.86075,                0.63381,               0.036888,               0.016061,               0.010544,              0.0053581,              0.0057925,              0.0057925,              0.0057925
                     36,               0.028796,               0.013424,               0.011524,              0.0027685,                0.90101,                0.79572,                0.85072,                0.53228,                0.90101,                0.79572,                0.85081,                0.61725,               0.038959,                0.01613,               0.010149,              0.0039265,              0.0056688,              0.0056688,              0.0056688
