                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3108,                 3.9558,                 1.3351,                 0.0026,                0.49309,                0.16535,                0.10928,                0.98174,                 3.3818,                 1.1152,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.0883,                 2.4059,                   1.05,                0.00338,                0.62666,                0.31849,                0.20539,                0.97493,                 3.2038,                 1.0688,             0.00038106,             0.00038106,             0.00038106
                      3,                0.93375,                 1.9498,                0.98322,                0.00363,                0.64221,                0.33421,                0.19623,                 0.9792,                 3.2403,                 1.0837,             0.00057139,             0.00057139,             0.00057139
                      4,                0.94193,                  1.678,                0.99518,                 0.0043,                0.60938,                0.21271,                0.10301,                 1.2674,                 3.4566,                  1.286,             0.00075677,             0.00075677,             0.00075677
                      5,                0.92741,                 1.7155,                 1.0241,                0.69289,                0.07283,                0.41627,                0.23986,                 1.3112,                 2.9253,                  1.191,              0.0009372,              0.0009372,              0.0009372
                      6,                0.90523,                 1.5287,                0.99003,                0.75728,                0.25768,                 0.3807,                0.21787,                  1.414,                  2.684,                 1.3188,              0.0011127,              0.0011127,              0.0011127
                      7,                0.92199,                 1.4535,                 1.0148,                0.59934,                0.36607,                0.42798,                0.30528,                 1.1304,                 2.4487,                 1.1573,              0.0012832,              0.0012832,              0.0012832
                      8,                0.93926,                  1.438,                 1.0155,                0.66266,                 0.4907,                0.57972,                0.38693,                 1.1412,                  2.101,                 1.2025,              0.0013052,              0.0013052,              0.0013052
                      9,                0.87406,                 1.2288,                0.97567,                0.52519,                0.72754,                0.64906,                0.46648,                 1.0123,                 1.9988,                  1.148,              0.0012875,              0.0012875,              0.0012875
                     10,                0.87539,                  1.286,                0.97862,                0.75954,                0.75836,                0.82232,                 0.5957,                0.94434,                 1.3383,                 1.1131,              0.0012698,              0.0012698,              0.0012698
                     11,                0.83374,                 1.2375,                0.96547,                0.65236,                0.76546,                 0.7421,                0.50863,                0.95877,                 1.4589,                 1.1156,              0.0012522,              0.0012522,              0.0012522
                     12,                 0.8747,                 1.2674,                0.98805,                0.72228,                 0.6584,                0.72022,                 0.5091,                0.99395,                 1.6689,                 1.1869,              0.0012345,              0.0012345,              0.0012345
                     13,                0.81486,                 1.1753,                0.95818,                0.75037,                0.73095,                0.77358,                0.52711,                0.98897,                 1.5661,                 1.1698,              0.0012168,              0.0012168,              0.0012168
                     14,                0.79714,                 1.0925,                0.96313,                 0.7835,                0.71188,                0.74051,                 0.5416,                0.91455,                 1.5324,                 1.1493,              0.0011991,              0.0011991,              0.0011991
                     15,                0.80191,                  1.062,                0.95752,                0.89548,                0.75013,                0.85068,                0.58748,                0.93594,                 1.3064,                  1.118,              0.0011814,              0.0011814,              0.0011814
                     16,                0.77177,                  1.066,                0.95059,                0.74148,                0.63224,                0.69405,                0.47271,                 1.0112,                 1.4638,                 1.1992,              0.0011637,              0.0011637,              0.0011637
                     17,                0.77397,                 1.0722,                0.96008,                0.80886,                0.71586,                0.78989,                0.56525,                0.96167,                 1.3369,                 1.1489,              0.0011461,              0.0011461,              0.0011461
                     18,                0.78093,                 1.0191,                0.94019,                0.78812,                 0.6769,                 0.7156,                0.55731,                 0.9949,                 1.3052,                 1.1654,              0.0011284,              0.0011284,              0.0011284
                     19,                0.72704,                0.96604,                0.94279,                0.79466,                0.69963,                0.77295,                0.56648,                0.97387,                 1.2453,                 1.1589,              0.0011107,              0.0011107,              0.0011107
                     20,                0.79057,                0.94238,                0.95879,                0.87529,                0.75526,                0.85663,                0.62172,                0.93895,                 0.9603,                 1.1594,               0.001093,               0.001093,               0.001093
                     21,                0.75472,                0.93384,                0.95052,                0.81853,                0.73111,                0.83111,                0.63164,                0.92504,                0.95667,                 1.1122,              0.0010753,              0.0010753,              0.0010753
                     22,                 0.7253,                0.89861,                0.93581,                0.80207,                0.71187,                0.80706,                0.61123,                0.94506,                0.91886,                 1.1281,              0.0010576,              0.0010576,              0.0010576
                     23,                 0.7224,                0.84086,                0.92183,                0.80348,                0.80369,                0.81782,                0.60129,                 0.9381,                 0.9603,                 1.1093,                0.00104,                0.00104,                0.00104
                     24,                0.73862,                0.85821,                0.93093,                0.81465,                0.83131,                0.87895,                0.63946,                0.89619,                0.86507,                 1.0923,              0.0010223,              0.0010223,              0.0010223
                     25,                0.73498,                0.85505,                0.93076,                0.91306,                0.74101,                 0.8687,                0.62671,                0.91834,                0.83412,                 1.1025,              0.0010046,              0.0010046,              0.0010046
                     26,                0.68604,                0.81081,                0.90469,                0.90279,                0.84363,                0.92736,                0.68345,                0.86961,                0.75017,                 1.1011,              0.0009869,              0.0009869,              0.0009869
                     27,                0.69046,                0.77753,                0.91492,                 0.8481,                0.82368,                0.90388,                0.63908,                0.93007,                0.78939,                 1.1369,             0.00096922,             0.00096922,             0.00096922
                     28,                0.67427,                0.78956,                0.90675,                0.82901,                0.81595,                0.89388,                0.65539,                0.89023,                0.81225,                 1.0956,             0.00095154,             0.00095154,             0.00095154
                     29,                 0.6711,                0.75313,                0.90763,                0.90321,                0.80728,                0.92462,                0.65886,                0.88233,                0.77839,                 1.0701,             0.00093385,             0.00093385,             0.00093385
                     30,                0.63862,                0.70991,                 0.8902,                0.95333,                0.77539,                0.89398,                0.67721,                0.81586,                0.73411,                 1.0535,             0.00091617,             0.00091617,             0.00091617
                     31,                0.63376,                0.71658,                0.91478,                0.94805,                0.80274,                0.91469,                0.70584,                0.79303,                0.73961,                 1.0399,             0.00089848,             0.00089848,             0.00089848
                     32,                0.66285,                0.71246,                0.90956,                0.83033,                0.75591,                0.84197,                0.64694,                0.79587,                0.96925,                 1.0279,              0.0008808,              0.0008808,              0.0008808
                     33,                0.58969,                0.69184,                0.89578,                 0.9071,                0.80282,                0.88344,                0.68702,                0.81919,                0.76519,                 1.0595,             0.00086312,             0.00086312,             0.00086312
                     34,                0.63317,                0.71032,                0.89246,                0.97357,                0.79864,                0.92543,                0.69838,                0.80678,                0.71584,                 1.0453,             0.00084543,             0.00084543,             0.00084543
                     35,                0.59183,                0.70401,                0.88574,                0.91552,                 0.8395,                0.92341,                0.69695,                0.80605,                0.75171,                 1.0186,             0.00082775,             0.00082775,             0.00082775
                     36,                0.62571,                0.63433,                0.89039,                0.93552,                0.76481,                0.89636,                0.68462,                0.80206,                 0.8221,                 1.0154,             0.00081006,             0.00081006,             0.00081006
                     37,                0.58163,                0.63522,                0.88149,                0.82207,                 0.6925,                0.81729,                0.63385,                0.83117,                 1.0116,                 1.0592,             0.00079238,             0.00079238,             0.00079238
                     38,                0.58405,                0.61454,                 0.8711,                0.80738,                0.70483,                0.78795,                0.61752,                0.82907,                 1.0352,                 1.0797,              0.0007747,              0.0007747,              0.0007747
                     39,                0.62455,                0.62856,                0.87521,                0.87045,                0.71584,                 0.8685,                0.65193,                 0.8449,                0.91891,                 1.0858,             0.00075701,             0.00075701,             0.00075701
