                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46916,                0.37986,                0.82863,                0.92619,                0.86124,                0.94833,                0.74407,                0.76785,                0.51807,                 1.0624,             0.00018577,             0.00018577,             0.00018577
                      2,                0.43444,                 0.3815,                0.83187,                0.89371,                0.81074,                0.91791,                0.71493,                0.78993,                0.60446,                 1.0683,             0.00037819,             0.00037819,             0.00037819
                      3,                0.44077,                0.37469,                0.83475,                 0.8956,                0.77969,                0.89534,                0.70017,                0.80953,                0.59122,                 1.0915,             0.00056269,             0.00056269,             0.00056269
                      4,                0.42582,                0.36985,                0.83757,                0.89148,                0.83008,                0.91588,                0.71203,                0.79499,                0.62218,                 1.0797,             0.00073926,             0.00073926,             0.00073926
                      5,                0.43725,                0.40639,                0.86234,                0.84165,                0.84862,                0.89231,                0.69204,                0.81211,                0.67422,                 1.0826,             0.00090792,             0.00090792,             0.00090792
                      6,                0.46707,                0.40945,                 0.8567,                0.83441,                 0.7717,                0.83523,                 0.6536,                0.84676,                0.77827,                 1.0983,              0.0010686,              0.0010686,              0.0010686
                      7,                0.49061,                 0.4309,                0.85035,                0.81411,                0.80169,                 0.8501,                0.65461,                0.84145,                0.78077,                  1.084,              0.0012215,              0.0012215,              0.0012215
                      8,                0.48923,                0.42669,                0.85167,                0.82331,                0.88131,                0.89938,                0.68579,                0.87422,                 0.6425,                 1.0906,              0.0012309,              0.0012309,              0.0012309
                      9,                 0.4893,                0.41724,                0.84733,                0.91794,                0.84401,                0.93107,                0.70145,                0.85393,                0.60507,                 1.0786,              0.0012026,              0.0012026,              0.0012026
                     10,                0.47581,                0.39582,                0.85334,                0.90887,                0.85567,                0.91513,                0.71987,                0.79191,                0.61416,                 1.0585,              0.0011744,              0.0011744,              0.0011744
                     11,                0.45483,                 0.3953,                0.85129,                0.93537,                0.80944,                 0.9181,                0.71007,                0.83484,                0.62259,                 1.0564,              0.0011461,              0.0011461,              0.0011461
                     12,                0.46076,                0.41446,                0.85073,                0.87166,                0.87135,                0.91216,                0.71649,                0.77347,                0.55385,                 1.0432,              0.0011178,              0.0011178,              0.0011178
                     13,                0.46076,                0.40142,                0.84371,                 0.9087,                0.89653,                0.93416,                0.71009,                0.78986,                0.58506,                  1.044,              0.0010895,              0.0010895,              0.0010895
                     14,                0.45831,                0.41814,                0.85136,                0.90276,                0.90645,                0.93474,                0.72822,                 0.7796,                 0.5497,                  1.036,              0.0010612,              0.0010612,              0.0010612
                     15,                0.43772,                0.37616,                0.83481,                0.87438,                0.90716,                0.93772,                0.73089,                0.78671,                0.56742,                 1.0523,              0.0010329,              0.0010329,              0.0010329
                     16,                0.46472,                 0.4079,                0.84473,                0.87189,                0.86882,                0.92822,                0.71919,                0.78698,                0.57749,                  1.077,              0.0010046,              0.0010046,              0.0010046
                     17,                 0.4626,                0.39707,                 0.8443,                0.92229,                0.79105,                0.91124,                0.69836,                0.80171,                0.61962,                 1.0963,             0.00097629,             0.00097629,             0.00097629
                     18,                0.47455,                 0.4243,                0.84426,                0.90461,                0.76373,                0.87427,                0.67226,                0.86838,                0.66455,                 1.1177,               0.000948,               0.000948,               0.000948
                     19,                0.44329,                0.39563,                0.84635,                0.84459,                0.82647,                0.87314,                0.66953,                0.81301,                 0.6401,                 1.0749,              0.0009197,              0.0009197,              0.0009197
