                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3372,                 2.9236,                 3.9174,                 1.3287,                0.00322,                0.59144,                0.23672,                0.15153,                0.00327,                0.60154,                0.23462,                0.17535,                  1.061,                 1.6056,                 3.2861,                 1.0938,             0.00018577,             0.00018577,             0.00018577
                      2,                  1.128,                 1.5735,                 2.4693,                 1.0494,                0.00376,                0.67969,                0.34019,                0.24122,                0.00402,                0.72501,                0.34753,                0.25046,                 1.0191,                 1.5351,                 3.1313,                 1.0539,             0.00038106,             0.00038106,             0.00038106
                      3,                 1.0209,                 1.2312,                 2.0392,                 1.0057,                 0.0051,                0.82337,                0.50048,                0.32787,                0.00535,                0.86124,                0.50614,                0.38861,                 1.0152,                 1.5538,                 3.0393,                 1.0339,             0.00057139,             0.00057139,             0.00057139
                      4,                0.99536,                 1.1326,                 1.7542,                0.99756,                0.95445,                0.12623,                0.43637,                0.31186,                0.95445,                0.12623,                0.43655,                0.34629,                0.98321,                 1.5409,                 2.9876,                 1.0761,             0.00075677,             0.00075677,             0.00075677
                      5,                0.96663,                 1.0898,                 1.7717,                 1.0211,                 0.7362,                0.35554,                0.43536,                0.30507,                0.70408,                0.37679,                0.45507,                  0.347,                 1.0946,                 1.6155,                 2.5036,                 1.1684,              0.0009372,              0.0009372,              0.0009372
                      6,                0.94626,                 1.1137,                 1.6589,                 1.0046,                0.69436,                0.37449,                0.50306,                0.32395,                0.69436,                0.37449,                0.47812,                0.33541,                 1.1792,                 2.7674,                 2.2793,                  1.188,              0.0011127,              0.0011127,              0.0011127
                      7,                0.92589,                  1.128,                    1.6,                0.98549,                0.64925,                0.60785,                0.64483,                0.44496,                0.65446,                0.59227,                0.63182,                0.47709,                 1.0432,                 2.3174,                 2.1551,                 1.1084,              0.0012832,              0.0012832,              0.0012832
                      8,                0.93603,                 1.1052,                 1.5213,                 1.0082,                0.35497,                 0.4416,                0.40531,                0.30786,                0.35497,                 0.4416,                0.39947,                0.29043,                 1.1102,                 2.0662,                 2.3578,                 1.1518,              0.0013052,              0.0013052,              0.0013052
                      9,                0.89912,                 1.0181,                  1.349,                0.97091,                 0.6567,                0.68581,                0.71753,                0.47907,                 0.6567,                0.68581,                0.71014,                0.49283,                 1.1254,                 1.6719,                 1.8369,                 1.1948,              0.0012875,              0.0012875,              0.0012875
                     10,                0.91511,                0.94263,                 1.3272,                 0.9767,                0.88042,                0.66159,                0.83927,                0.52984,                0.85074,                0.63182,                0.76776,                 0.4621,                 1.2885,                  2.275,                 1.5767,                   1.28,              0.0012698,              0.0012698,              0.0012698
                     11,                0.88388,                0.99376,                 1.3037,                0.98511,                0.76335,                0.75262,                0.89287,                0.59802,                0.84723,                0.65172,                0.85277,                0.55809,                 1.1297,                 1.7547,                 1.4144,                 1.2162,              0.0012522,              0.0012522,              0.0012522
                     12,                0.87754,                  1.035,                  1.273,                0.97538,                0.73713,                 0.6052,                0.71784,                0.53238,                0.72697,                 0.5981,                0.65787,                0.40691,                 1.0339,                 2.7747,                 1.7194,                 1.1533,              0.0012345,              0.0012345,              0.0012345
                     13,                0.85225,                0.96981,                 1.2384,                0.94997,                0.88462,                0.76719,                0.86948,                   0.63,                0.87415,                0.75722,                0.82452,                0.59801,                 1.0099,                 1.8659,                 1.2998,                 1.1242,              0.0012168,              0.0012168,              0.0012168
                     14,                0.81959,                0.93303,                  1.162,                0.95594,                0.75447,                0.79683,                0.84561,                0.60447,                0.75743,                0.79076,                0.84228,                0.60724,                 1.0008,                 1.6016,                 1.3258,                 1.0941,              0.0011991,              0.0011991,              0.0011991
                     15,                 0.7884,                0.89838,                 1.1222,                0.93528,                0.90332,                0.75008,                 0.8496,                0.63792,                0.90743,                0.74781,                0.84236,                0.63023,                0.96578,                 1.4454,                 1.2661,                 1.0705,              0.0011814,              0.0011814,              0.0011814
                     16,                0.79023,                0.95436,                 1.1175,                0.93715,                0.73066,                0.63638,                0.71505,                 0.5147,                0.73129,                0.63863,                0.70682,                 0.5073,                0.99831,                 1.5899,                 1.4341,                 1.1036,              0.0011637,              0.0011637,              0.0011637
                     17,                0.79797,                0.95663,                 1.0984,                0.94959,                0.87943,                 0.5867,                0.78646,                0.51285,                0.72421,                0.64229,                0.75824,                0.55138,                 1.0165,                 1.7748,                 1.4572,                 1.1275,              0.0011461,              0.0011461,              0.0011461
                     18,                0.83946,                 1.0044,                 1.0939,                0.94879,                0.77191,                 0.7072,                0.78332,                0.57151,                 0.7806,                 0.7173,                0.77834,                0.55964,                0.96995,                 1.7734,                 1.2111,                 1.1014,              0.0011284,              0.0011284,              0.0011284
                     19,                0.76198,                0.83631,                 1.0098,                0.94145,                0.84905,                   0.71,                0.81248,                0.62191,                0.84905,                   0.71,                0.80526,                 0.5912,                 0.9122,                 1.5752,                  1.043,                 1.0354,              0.0011107,              0.0011107,              0.0011107
                     20,                0.80012,                0.85117,                0.99241,                 0.9465,                0.81257,                0.77175,                0.83098,                0.59831,                 0.8266,                 0.7825,                0.82449,                0.58435,                0.95482,                 1.5503,                   1.07,                 1.0668,               0.001093,               0.001093,               0.001093
                     21,                0.78041,                0.83653,                0.98758,                0.95398,                 0.7995,                0.76399,                0.79398,                0.60228,                0.79153,                0.75641,                0.78117,                0.57903,                0.92387,                 1.5695,                 1.0651,                 1.0869,              0.0010753,              0.0010753,              0.0010753
                     22,                0.72214,                0.82167,                0.91535,                 0.9285,                0.81675,                0.73485,                0.82379,                0.58579,                0.78867,                0.71717,                0.80112,                0.57893,                0.91355,                 1.6073,                 1.1233,                 1.0647,              0.0010576,              0.0010576,              0.0010576
                     23,                0.73766,                0.79687,                 0.9076,                0.92119,                0.79843,                0.73642,                0.82601,                0.60549,                0.79827,                0.73727,                0.80831,                0.59356,                0.91192,                 1.6686,                 1.0623,                 1.0673,                0.00104,                0.00104,                0.00104
                     24,                0.77206,                0.80936,                0.93677,                0.91797,                0.76817,                0.74806,                0.81582,                0.60009,                0.74026,                0.72057,                 0.7803,                0.60554,                0.95224,                 1.6983,                 1.1459,                 1.0916,              0.0010223,              0.0010223,              0.0010223
                     25,                0.76973,                0.88577,                0.93803,                0.93441,                 0.9088,                 0.7775,                 0.8743,                0.62316,                0.87757,                0.74994,                0.85205,                0.64877,                0.92211,                 1.3482,                 0.9177,                 1.0428,              0.0010046,              0.0010046,              0.0010046
                     26,                0.74238,                0.76897,                 0.8833,                0.90905,                0.86727,                 0.8089,                 0.8705,                0.64362,                0.87591,                0.79444,                0.87406,                0.64749,                0.93596,                 1.2397,                0.90318,                 1.0601,              0.0009869,              0.0009869,              0.0009869
                     27,                 0.7459,                0.73284,                0.84119,                0.91776,                0.87169,                0.81812,                0.88964,                0.65679,                0.86574,                0.82091,                0.89125,                0.69391,                 0.8796,                 1.2672,                0.81731,                  1.024,             0.00096922,             0.00096922,             0.00096922
                     28,                0.73908,                0.80137,                0.88327,                0.91832,                0.81541,                0.89741,                0.93194,                0.66665,                 0.7919,                0.87361,                0.90256,                0.68813,                0.86488,                 1.3402,                0.75213,                 1.0151,             0.00095154,             0.00095154,             0.00095154
                     29,                0.71831,                 0.7783,                0.80738,                0.91758,                0.80178,                0.82465,                0.91595,                0.66671,                0.79699,                0.81629,                0.90077,                0.67626,                 0.8687,                 1.4494,                0.84818,                 1.0123,             0.00093385,             0.00093385,             0.00093385
                     30,                0.68786,                 0.7682,                0.77728,                0.89147,                0.86939,                0.90365,                0.93017,                0.67798,                0.85872,                0.88636,                0.91024,                0.68011,                0.87418,                 1.5301,                0.72802,                 1.0296,             0.00091617,             0.00091617,             0.00091617
                     31,                0.68142,                0.77589,                0.72959,                0.91133,                0.87561,                0.91162,                0.92747,                0.68016,                0.88058,                0.90708,                0.91483,                0.67104,                0.88614,                 1.7315,                0.70756,                 1.0408,             0.00089848,             0.00089848,             0.00089848
                     32,                0.71452,                0.76763,                0.76889,                0.91021,                0.94417,                0.81306,                0.92528,                0.68553,                0.87598,                0.89155,                0.93251,                0.70047,                0.85712,                 1.6221,                0.67584,                 1.0213,              0.0008808,              0.0008808,              0.0008808
                     33,                0.67408,                0.69376,                0.72523,                0.90321,                 0.8394,                0.90688,                0.93672,                0.67681,                  0.889,                0.85599,                0.93013,                0.68317,                0.88368,                 1.5175,                  0.687,                 1.0475,             0.00086312,             0.00086312,             0.00086312
                     34,                0.68939,                0.76888,                0.74351,                0.89909,                0.86494,                0.86679,                0.92215,                0.69499,                0.84466,                0.84951,                0.90654,                0.67678,                0.85961,                 1.3288,                0.73518,                  1.037,             0.00084543,             0.00084543,             0.00084543
                     35,                0.64037,                 0.6779,                0.73265,                0.89572,                0.84279,                0.83706,                0.89339,                0.64226,                0.83276,                0.84499,                0.88252,                0.64582,                0.89783,                 1.3214,                0.78596,                  1.052,             0.00082775,             0.00082775,             0.00082775
                     36,                0.64592,                0.76001,                0.67088,                0.87703,                0.93194,                0.81219,                0.91107,                0.69128,                0.93194,                0.81219,                0.89691,                0.68726,                0.80143,                 1.2149,                0.71246,                0.97873,             0.00081006,             0.00081006,             0.00081006
                     37,                0.61979,                0.72019,                0.68581,                0.87644,                0.91458,                0.81805,                0.88391,                0.67615,                0.90162,                0.79815,                0.87356,                0.67991,                 0.8348,                 1.2303,                 0.7541,                 1.0128,             0.00079238,             0.00079238,             0.00079238
                     38,                0.63345,                0.71071,                0.67023,                0.87855,                0.86323,                0.78901,                0.84966,                0.66144,                0.85435,                0.78171,                0.82635,                0.64579,                0.82791,                 1.4029,                  0.828,                 1.0383,              0.0007747,              0.0007747,              0.0007747
                     39,                0.63747,                0.74864,                0.66365,                0.86898,                0.87252,                0.80813,                0.86872,                0.65824,                0.85613,                0.78296,                0.84422,                0.63688,                0.81895,                 1.5575,                0.75177,                 1.0167,             0.00075701,             0.00075701,             0.00075701
                     40,                0.59627,                0.68325,                0.63508,                0.87728,                0.87116,                0.79054,                0.86681,                0.63809,                0.81217,                0.80064,                0.84925,                0.62599,                0.84555,                 1.4198,                0.79853,                 1.0339,             0.00073933,             0.00073933,             0.00073933
                     41,                0.58385,                0.69645,                 0.6059,                0.86894,                 0.8923,                0.84262,                0.87782,                 0.6401,                0.87087,                0.82512,                0.86439,                0.62458,                0.87516,                 1.3449,                0.71054,                 1.0516,             0.00072164,             0.00072164,             0.00072164
                     42,                0.55971,                0.68782,                0.61206,                0.86284,                0.88899,                0.87674,                0.88761,                0.66149,                0.88103,                0.86949,                0.88356,                0.65676,                0.86364,                 1.3082,                0.68237,                 1.0526,             0.00070396,             0.00070396,             0.00070396
                     43,                0.55155,                0.67649,                0.60929,                0.86915,                0.92712,                 0.8607,                0.89377,                0.66702,                0.92712,                 0.8607,                0.88773,                0.65161,                0.85034,                 1.3268,                0.69411,                 1.0438,             0.00068628,             0.00068628,             0.00068628
                     44,                0.55079,                  0.652,                0.57467,                  0.862,                0.93526,                0.83024,                0.90588,                 0.6661,                0.93526,                0.83024,                0.90234,                0.65549,                0.82872,                 1.3147,                0.67588,                 1.0245,             0.00066859,             0.00066859,             0.00066859
                     45,                0.58428,                0.70887,                0.63259,                0.86421,                0.87102,                0.89782,                0.91466,                0.69034,                0.85546,                0.88267,                0.90302,                0.67722,                0.84043,                 1.4233,                 0.6579,                 1.0169,             0.00065091,             0.00065091,             0.00065091
                     46,                 0.5867,                0.71156,                0.62545,                0.86806,                0.89807,                0.89646,                0.94495,                0.71355,                0.88259,                0.88131,                0.92882,                0.69915,                0.83202,                 1.5497,                0.65168,                 1.0163,             0.00063323,             0.00063323,             0.00063323
                     47,                0.55894,                0.65078,                0.58965,                0.86487,                0.86522,                0.90855,                 0.9338,                0.72881,                0.83502,                0.87804,                0.90391,                0.69844,                0.78913,                 1.5559,                0.60604,                  1.014,             0.00061554,             0.00061554,             0.00061554
                     48,                0.56529,                0.68387,                 0.5649,                0.87852,                0.85212,                0.92985,                0.92649,                0.70215,                0.84945,                0.88932,                 0.9011,                0.68329,                 0.8557,                   1.52,                0.65157,                 1.0433,             0.00059786,             0.00059786,             0.00059786
                     49,                0.54568,                 0.6469,                 0.5582,                0.86843,                0.85296,                0.93939,                0.92384,                0.71688,                0.85122,                0.92289,                0.92155,                0.69996,                 0.7643,                 1.3709,                0.64512,                0.98355,             0.00058017,             0.00058017,             0.00058017
                     50,                 0.5583,                0.65785,                0.53718,                0.87084,                0.90104,                0.88256,                0.93444,                0.73481,                0.89252,                0.87519,                0.92678,                0.69895,                0.76184,                 1.2568,                0.63631,                0.97731,             0.00056249,             0.00056249,             0.00056249
                     51,                0.53794,                0.66816,                0.55025,                 0.8527,                0.93014,                0.86689,                0.93535,                0.73315,                0.93424,                0.86941,                0.93641,                0.71746,                0.75022,                 1.1874,                 0.6576,                0.97981,             0.00054481,             0.00054481,             0.00054481
                     52,                0.50006,                0.61898,                0.51613,                0.85882,                0.91555,                0.86291,                0.91573,                0.70908,                0.90691,                0.85549,                0.91883,                0.70507,                0.78606,                 1.1806,                0.61132,                 1.0019,             0.00052712,             0.00052712,             0.00052712
                     53,                0.54435,                 0.6372,                0.55784,                0.86654,                0.89837,                0.90086,                0.92858,                0.74539,                0.89117,                0.89378,                0.93086,                0.73751,                0.74586,                 1.1836,                0.58715,                 0.9725,             0.00050944,             0.00050944,             0.00050944
                     54,                0.54086,                0.62742,                0.52887,                0.87317,                0.96061,                0.87731,                0.93806,                0.76903,                0.95296,                0.86987,                0.94078,                0.73875,                0.71117,                 1.2718,                0.57457,                0.95821,             0.00049175,             0.00049175,             0.00049175
                     55,                0.53299,                0.62189,                0.53309,                0.85388,                0.94382,                0.86616,                0.92086,                0.73806,                 0.9288,                0.85101,                0.90024,                 0.7071,                0.76064,                 1.4043,                0.58998,                0.97695,             0.00047407,             0.00047407,             0.00047407
                     56,                0.53473,                0.67493,                0.52831,                 0.8554,                0.90869,                 0.8841,                0.91506,                0.72904,                0.95568,                0.81718,                0.88751,                0.68732,                0.74088,                 1.4565,                0.57214,                0.99044,             0.00045639,             0.00045639,             0.00045639
                     57,                0.52759,                 0.6665,                0.51547,                0.85744,                 0.9088,                0.89893,                0.92897,                0.73071,                0.88934,                0.88165,                0.90792,                0.70747,                0.73422,                    1.4,                0.55842,                 0.9878,              0.0004387,              0.0004387,              0.0004387
                     58,                 0.5217,                 0.6382,                0.47968,                0.84477,                0.89056,                0.92533,                0.95289,                0.75388,                0.87267,                0.90766,                 0.9324,                0.73982,                0.72277,                 1.3162,                0.55391,                0.98066,             0.00042102,             0.00042102,             0.00042102
                     59,                0.52228,                0.64064,                0.50886,                0.85665,                0.92795,                0.87685,                0.93639,                0.74747,                0.90882,                0.85813,                 0.9251,                0.72269,                0.73746,                 1.2968,                0.54141,                0.98001,             0.00040334,             0.00040334,             0.00040334
                     60,                0.48773,                0.64747,                0.49747,                0.84872,                0.89117,                0.90646,                0.95516,                0.75776,                0.86445,                0.88133,                0.92495,                0.74877,                0.73486,                 1.3194,                0.54806,                 0.9738,             0.00038565,             0.00038565,             0.00038565
                     61,                0.49299,                0.64691,                0.52477,                0.84918,                0.92395,                 0.8878,                0.94929,                0.75154,                 0.8978,                0.85808,                0.92039,                0.73959,                 0.7288,                  1.368,                0.55848,                0.97603,             0.00036797,             0.00036797,             0.00036797
                     62,                0.48514,                0.62276,                0.49008,                 0.8503,                0.93392,                0.87468,                0.92395,                0.72965,                0.90403,                0.84977,                0.89649,                0.71012,                0.75063,                 1.3768,                0.58434,                0.99714,             0.00035028,             0.00035028,             0.00035028
                     63,                0.48948,                0.61117,                0.48202,                  0.847,                0.91195,                0.87171,                0.91577,                 0.7124,                0.88306,                 0.8468,                0.88994,                0.68789,                0.76771,                 1.4053,                0.58673,                 1.0101,              0.0003326,              0.0003326,              0.0003326
                     64,                0.47537,                0.62075,                0.48404,                0.84992,                0.86739,                0.88093,                0.90844,                0.70364,                0.85202,                0.86616,                 0.8969,                0.69014,                0.76556,                 1.3949,                0.58995,                 1.0064,             0.00031492,             0.00031492,             0.00031492
                     65,                0.47186,                 0.6401,                0.47575,                0.84649,                0.84745,                 0.8946,                0.91762,                0.70029,                0.83266,                0.87945,                0.90158,                 0.6889,                0.76141,                 1.3656,                 0.5774,                 1.0058,             0.00029723,             0.00029723,             0.00029723
                     66,                0.46453,                0.60103,                0.46792,                0.83942,                0.89643,                0.89784,                0.92288,                0.71936,                0.88828,                0.89027,                 0.9141,                0.71013,                0.76081,                 1.2843,                 0.5704,                0.99976,             0.00027955,             0.00027955,             0.00027955
                     67,                0.46452,                0.61115,                0.47093,                0.83636,                0.88934,                0.87427,                0.91592,                0.70714,                0.88108,                 0.8667,                0.90795,                0.71809,                0.75277,                 1.2268,                0.58218,                0.98924,             0.00026186,             0.00026186,             0.00026186
                     68,                0.45827,                0.59293,                0.45605,                 0.8379,                0.84872,                0.91293,                0.91285,                0.69613,                 0.8315,                0.89536,                0.88836,                0.70132,                0.75778,                 1.2191,                0.57239,                0.99431,             0.00024418,             0.00024418,             0.00024418
                     69,                 0.4523,                0.58718,                 0.4379,                0.83671,                0.86683,                0.91667,                0.92092,                0.70623,                0.85807,                0.90909,                0.91353,                0.71386,                0.76175,                 1.2113,                0.55512,                 1.0008,              0.0002265,              0.0002265,              0.0002265
                     70,                0.45136,                0.62195,                0.44382,                0.83285,                0.88017,                0.88992,                0.92995,                 0.7221,                0.86435,                0.87477,                0.91696,                0.72085,                0.75194,                 1.2078,                0.55099,                 1.0023,             0.00020881,             0.00020881,             0.00020881
                     71,                0.48608,                0.63599,                0.47616,                0.83441,                0.90123,                0.86364,                0.92106,                0.71641,                0.89272,                0.85606,                0.90728,                0.70726,                0.74885,                 1.2122,                0.58149,                 1.0002,             0.00019113,             0.00019113,             0.00019113
                     72,                0.45796,                0.60532,                0.45597,                0.82723,                0.89076,                0.85606,                 0.9158,                0.71573,                0.88802,                0.84801,                0.90749,                0.71473,                0.75291,                  1.196,                0.60516,                0.99906,             0.00017344,             0.00017344,             0.00017344
