                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41581,                0.54003,                0.35208,                0.81859,                0.90213,                0.85606,                0.91355,                0.71676,                0.88654,                0.83852,                0.90567,                0.71039,                0.77704,                 1.3922,                 0.5862,                0.99543,             0.00018577,             0.00018577,             0.00018577
                      2,                0.41662,                0.57374,                0.34902,                0.81874,                 0.8956,                0.84798,                0.89589,                0.70224,                0.88098,                0.83057,                0.88259,                0.68216,                0.78708,                 1.4597,                0.63522,                 1.0215,             0.00037946,             0.00037946,             0.00037946
                      3,                0.43883,                0.54241,                0.36412,                0.82291,                0.91098,                0.89197,                 0.9177,                0.70612,                0.89176,                0.86271,                0.90133,                0.69566,                0.78753,                   1.45,                0.58721,                 1.0032,             0.00056656,             0.00056656,             0.00056656
                      4,                0.44445,                  0.519,                0.36679,                0.83982,                0.93771,                0.82337,                 0.9068,                 0.6907,                0.93771,                0.82337,                0.89372,                0.67522,                0.86797,                 1.5501,                0.55952,                 1.0785,             0.00074705,             0.00074705,             0.00074705
                      5,                0.46279,                0.55677,                0.41573,                0.85805,                0.95514,                0.83852,                0.91264,                0.71578,                0.95514,                0.83852,                0.88632,                0.70338,                0.76351,                 1.5592,                0.60852,                0.98044,             0.00092093,             0.00092093,             0.00092093
                      6,                0.47867,                0.58408,                0.44205,                 0.8531,                0.88195,                 0.6971,                 0.8222,                0.60694,                0.88195,                 0.6971,                0.80373,                0.59845,                0.87727,                 2.3367,                0.97039,                 1.0183,              0.0010882,              0.0010882,              0.0010882
                      7,                0.51665,                0.64417,                0.48026,                0.84711,                0.83064,                0.83798,                0.85462,                0.63841,                0.87207,                0.80569,                0.83826,                0.62354,                 0.9196,                 2.2163,                0.81509,                 1.1086,              0.0012489,              0.0012489,              0.0012489
                      8,                 0.5114,                0.59992,                0.48859,                0.85291,                0.87128,                0.82337,                0.87987,                0.68583,                 0.9116,                0.78923,                0.86325,                0.64009,                0.89459,                 2.7774,                0.65971,                 1.0989,               0.001264,               0.001264,               0.001264
                      9,                0.50125,                 0.5854,                0.44882,                0.84466,                0.86608,                0.84327,                0.86969,                0.66809,                0.84149,                0.81815,                0.84637,                0.63545,                0.85073,                 2.7665,                0.76082,                 1.0704,              0.0012404,              0.0012404,              0.0012404
                     10,                0.50344,                0.56767,                0.43264,                0.85873,                 0.8473,                0.84679,                 0.8737,                 0.6596,                 0.8473,                0.84679,                0.86156,                 0.6355,                0.84685,                 1.8659,                0.80012,                 1.0267,              0.0012168,              0.0012168,              0.0012168
